epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,153.594,1.66105,0.80934,1.03773,0.987,0.99341,0.99354,0.51788,1.73397,1.25106,0.96618,0.00106188,0.00106188,0.00106188
112,155.788,1.64866,0.77514,0.98111,0.99316,0.99115,0.99467,0.52579,1.63897,1.0612,0.95802,0.00105638,0.00105638,0.00105638
113,157.701,1.6382,0.81601,1.06179,0.99316,0.99115,0.99467,0.52579,1.63897,1.0612,0.95802,0.00105088,0.00105088,0.00105088
114,159.168,1.82851,0.76863,1.00685,0.99316,0.99115,0.99467,0.52579,1.63897,1.0612,0.95802,0.00104538,0.00104538,0.00104538
115,160.825,1.60952,0.72993,0.90279,0.99316,0.99115,0.99467,0.52579,1.63897,1.0612,0.95802,0.00103987,0.00103987,0.00103987
116,163.657,1.67538,0.78828,0.93057,0.95294,0.97917,0.99039,0.51904,1.61866,0.96305,0.9569,0.00103437,0.00103437,0.00103437
117,165.481,1.56758,0.90253,0.9677,0.95294,0.97917,0.99039,0.51904,1.61866,0.96305,0.9569,0.00102887,0.00102887,0.00102887
118,166.982,1.61518,0.74588,0.91373,0.95294,0.97917,0.99039,0.51904,1.61866,0.96305,0.9569,0.00102337,0.00102337,0.00102337
119,168.871,1.74675,0.79931,0.92678,0.95294,0.97917,0.99039,0.51904,1.61866,0.96305,0.9569,0.00101787,0.00101787,0.00101787
120,172.01,1.59659,0.77542,0.9812,0.98455,0.97917,0.98885,0.52977,1.61718,0.91477,0.9492,0.00101237,0.00101237,0.00101237
121,173.801,1.78108,0.92675,1.02444,0.98455,0.97917,0.98885,0.52977,1.61718,0.91477,0.9492,0.00100687,0.00100687,0.00100687
122,175.596,1.7039,0.77274,0.94508,0.98455,0.97917,0.98885,0.52977,1.61718,0.91477,0.9492,0.00100137,0.00100137,0.00100137
123,177.696,1.65302,0.75612,0.97403,0.98455,0.97917,0.98885,0.52977,1.61718,0.91477,0.9492,0.000995866,0.000995866,0.000995866
124,180.509,1.67739,0.74676,1.03531,0.98762,0.99167,0.98965,0.54041,1.60784,0.87109,0.94889,0.000990365,0.000990365,0.000990365
125,182.881,1.54822,0.75868,0.9983,0.98762,0.99167,0.98965,0.54041,1.60784,0.87109,0.94889,0.000984864,0.000984864,0.000984864
126,184.546,1.61436,0.73968,0.98119,0.98762,0.99167,0.98965,0.54041,1.60784,0.87109,0.94889,0.000979362,0.000979362,0.000979362
127,186.293,1.65749,0.75965,0.96726,0.98762,0.99167,0.98965,0.54041,1.60784,0.87109,0.94889,0.000973861,0.000973861,0.000973861
128,189.751,1.56365,0.7262,0.97256,0.9847,0.9875,0.98279,0.5049,1.71768,0.84397,0.98335,0.00096836,0.00096836,0.00096836
129,191.517,1.63106,0.72986,1.02484,0.9847,0.9875,0.98279,0.5049,1.71768,0.84397,0.98335,0.000962859,0.000962859,0.000962859
130,193.217,1.52368,0.79311,0.94781,0.9847,0.9875,0.98279,0.5049,1.71768,0.84397,0.98335,0.000957358,0.000957358,0.000957358
131,195.055,1.58474,0.71514,0.91536,0.9847,0.9875,0.98279,0.5049,1.71768,0.84397,0.98335,0.000951857,0.000951857,0.000951857
132,198.308,1.73618,0.84212,0.94274,0.98054,0.98333,0.97482,0.45526,1.83822,0.81402,1.0256,0.000946356,0.000946356,0.000946356
133,200.179,1.59062,0.7054,0.89226,0.98054,0.98333,0.97482,0.45526,1.83822,0.81402,1.0256,0.000940855,0.000940855,0.000940855
134,201.623,1.61557,0.80882,0.9887,0.98054,0.98333,0.97482,0.45526,1.83822,0.81402,1.0256,0.000935354,0.000935354,0.000935354
135,203.091,1.6824,0.72455,0.90566,0.98054,0.98333,0.97482,0.45526,1.83822,0.81402,1.0256,0.000929853,0.000929853,0.000929853
136,206.376,1.63141,0.74181,0.94785,0.97966,0.98333,0.97474,0.4781,1.78798,0.79112,1.01426,0.000924352,0.000924352,0.000924352
137,208.094,1.701,0.75468,0.9611,0.97966,0.98333,0.97474,0.4781,1.78798,0.79112,1.01426,0.00091885,0.00091885,0.00091885
138,209.776,1.56284,0.69524,0.93828,0.97966,0.98333,0.97474,0.4781,1.78798,0.79112,1.01426,0.000913349,0.000913349,0.000913349
139,211.6,1.58719,0.71919,0.90205,0.97966,0.98333,0.97474,0.4781,1.78798,0.79112,1.01426,0.000907848,0.000907848,0.000907848
140,214.846,1.58949,0.71585,0.87394,0.99113,0.99583,0.99458,0.54073,1.6227,0.76205,0.96178,0.000902347,0.000902347,0.000902347
141,217.28,1.59879,0.70876,0.92495,0.99113,0.99583,0.99458,0.54073,1.6227,0.76205,0.96178,0.000896846,0.000896846,0.000896846
142,219.094,1.66163,0.73626,0.9703,0.99113,0.99583,0.99458,0.54073,1.6227,0.76205,0.96178,0.000891345,0.000891345,0.000891345
143,220.968,1.58602,0.74618,0.95082,0.99113,0.99583,0.99458,0.54073,1.6227,0.76205,0.96178,0.000885844,0.000885844,0.000885844
144,224.126,1.52713,0.70777,0.92595,0.99193,0.99976,0.995,0.58348,1.56689,0.76824,0.94199,0.000880343,0.000880343,0.000880343
145,226.046,1.6323,0.71238,0.98896,0.99193,0.99976,0.995,0.58348,1.56689,0.76824,0.94199,0.000874842,0.000874842,0.000874842
146,227.677,1.65042,0.74471,0.89544,0.99193,0.99976,0.995,0.58348,1.56689,0.76824,0.94199,0.00086934,0.00086934,0.00086934
147,229.588,1.53341,0.68433,0.92854,0.99193,0.99976,0.995,0.58348,1.56689,0.76824,0.94199,0.000863839,0.000863839,0.000863839
148,232.605,1.50396,0.69193,0.93015,0.99129,0.99791,0.995,0.57997,1.53363,0.76846,0.93372,0.000858338,0.000858338,0.000858338
